,name,url,visible_ini,visible_end
0,Acamar,https://www.glyphweb.com/esky/stars/acamar.html,November,November
1,Aldulfin,https://www.glyphweb.com/esky/stars/aldulfin.html,August,August
2,Deneb Dulfim,https://www.glyphweb.com/esky/stars/aldulfin.html,August,August
3,Alrescha,https://www.glyphweb.com/esky/stars/alrisha.html,November,November
4,Alrisha,https://www.glyphweb.com/esky/stars/alrisha.html,November,November
5,Achernar,https://www.glyphweb.com/esky/stars/achernar.html,October,November
6,Alhena,https://www.glyphweb.com/esky/stars/alhena.html,January,January
7,Aleena,https://www.glyphweb.com/esky/stars/alhena.html,January,January
8,Almeisan,https://www.glyphweb.com/esky/stars/alhena.html,January,January
9,Achird,https://www.glyphweb.com/esky/stars/achird.html,October,October
10,Alphard,https://www.glyphweb.com/esky/stars/alfard.html,February,March
11,Alfard,https://www.glyphweb.com/esky/stars/alfard.html,February,March
12,Acrab,https://www.glyphweb.com/esky/stars/acrab.html,June,June
13,Akrab,https://www.glyphweb.com/esky/stars/acrab.html,June,June
14,Elacrab,https://www.glyphweb.com/esky/stars/acrab.html,June,June
15,Graffias,https://www.glyphweb.com/esky/stars/acrab.html,June,June
16,Meridiana,https://www.glyphweb.com/esky/stars/alfeccameridiana.html,July,July
17,Alfecca Meridiana,https://www.glyphweb.com/esky/stars/alfeccameridiana.html,July,July
18,Alphecca Meridiana,https://www.glyphweb.com/esky/stars/alfeccameridiana.html,July,July
19,Acrux,https://www.glyphweb.com/esky/stars/acrux.html,April,April
20,Alfirk,https://www.glyphweb.com/esky/stars/alfirk.html,August,September
21,Alphirk,https://www.glyphweb.com/esky/stars/alfirk.html,August,September
22,Alsafi,https://www.glyphweb.com/esky/stars/alsafi.html,July,August
23,Acubens,https://www.glyphweb.com/esky/stars/acubens.html,,
24,Algedi,https://www.glyphweb.com/esky/stars/algedi.html,August,August
25,Algedi Secunda,https://www.glyphweb.com/esky/stars/algedi.html,August,August
26,Giedi,https://www.glyphweb.com/esky/stars/algedi.html,August,August
27,Giedi Secunda,https://www.glyphweb.com/esky/stars/algedi.html,August,August
28,Alsciaukat,https://www.glyphweb.com/esky/stars/alsciaukat.html,K4.5IIIorangegiant,K4.5IIIorangegiant
29,Mabsuthat,https://www.glyphweb.com/esky/stars/alsciaukat.html,K4.5IIIorangegiant,K4.5IIIorangegiant
30,Adhara,https://www.glyphweb.com/esky/stars/adara.html,January,January
31,Adara,https://www.glyphweb.com/esky/stars/adara.html,January,January
32,Alsephina,https://www.glyphweb.com/esky/stars/deltavelorum.html,February,February
33,Alsafinah,https://www.glyphweb.com/esky/stars/deltavelorum.html,February,February
34,Adhafera,https://www.glyphweb.com/esky/stars/adhafera.html,March,March
35,Algenib,https://www.glyphweb.com/esky/stars/gammapegasi.html,October,October
36,Alshain,https://www.glyphweb.com/esky/stars/alshain.html,August,August
37,Mirfak,https://www.glyphweb.com/esky/stars/algenib.html,November,December
38,Mirphak,https://www.glyphweb.com/esky/stars/algenib.html,November,December
39,Sham,https://www.glyphweb.com/esky/stars/sham.html,July,August
40,Alsham,https://www.glyphweb.com/esky/stars/sham.html,July,August
41,Adhil,https://www.glyphweb.com/esky/stars/adhil.html,,
42,Ras Elased Australis,https://www.glyphweb.com/esky/stars/raselasedaustralis.html,February,March
43,Algenubi,https://www.glyphweb.com/esky/stars/raselasedaustralis.html,February,March
44,Rasalas,https://www.glyphweb.com/esky/stars/rasalas.html,"Rasalas b,gas giant","Rasalas b,gas giant"
45,Ras Elased Borealis,https://www.glyphweb.com/esky/stars/rasalas.html,"Rasalas b,gas giant","Rasalas b,gas giant"
46,Alshemali,https://www.glyphweb.com/esky/stars/rasalas.html,"Rasalas b,gas giant","Rasalas b,gas giant"
47,Adid Australis,https://www.glyphweb.com/esky/stars/adidaustralis.html,December,December
48,Algieba,https://www.glyphweb.com/esky/stars/algieba.html,"Algieba b(Gamma1Leonis b),gas giant","Algieba b(Gamma1Leonis b),gas giant"
49,Juba,https://www.glyphweb.com/esky/stars/algieba.html,"Algieba b(Gamma1Leonis b),gas giant","Algieba b(Gamma1Leonis b),gas giant"
50,Suhail,https://www.glyphweb.com/esky/stars/alsuhail.html,February,March
51,Alsuhail,https://www.glyphweb.com/esky/stars/alsuhail.html,February,March
52,Adid Borealis,https://www.glyphweb.com/esky/stars/adidborealis.html,November,December
53,Basel,https://www.glyphweb.com/esky/stars/adidborealis.html,November,December
54,Algol,https://www.glyphweb.com/esky/stars/algol.html,November,November
55,Altair,https://www.glyphweb.com/esky/stars/altair.html,July,August
56,Hadar,https://www.glyphweb.com/esky/stars/agena.html,May,May
57,Agena,https://www.glyphweb.com/esky/stars/agena.html,May,May
58,Algorab,https://www.glyphweb.com/esky/stars/algorab.html,April,April
59,Altais,https://www.glyphweb.com/esky/stars/altais.html,July,August
60,Nodus II,https://www.glyphweb.com/esky/stars/altais.html,July,August
61,Nodus Secundus,https://www.glyphweb.com/esky/stars/altais.html,July,August
62,Ahadi,https://www.glyphweb.com/esky/stars/ahadi.html,January,February
63,Tarf,https://www.glyphweb.com/esky/stars/tarf.html,"Tarf b,gas giant","Tarf b,gas giant"
64,Altarf,https://www.glyphweb.com/esky/stars/tarf.html,"Tarf b,gas giant","Tarf b,gas giant"
65,Al Tarf,https://www.glyphweb.com/esky/stars/tarf.html,"Tarf b,gas giant","Tarf b,gas giant"
66,Ain,https://www.glyphweb.com/esky/stars/ain.html,"Amateru(Ain b), 'super-Jupiter'gas giant","Amateru(Ain b), 'super-Jupiter'gas giant"
67,Coronis,https://www.glyphweb.com/esky/stars/ain.html,"Amateru(Ain b), 'super-Jupiter'gas giant","Amateru(Ain b), 'super-Jupiter'gas giant"
68,Oculus Borealis,https://www.glyphweb.com/esky/stars/ain.html,"Amateru(Ain b), 'super-Jupiter'gas giant","Amateru(Ain b), 'super-Jupiter'gas giant"
69,Alherem,https://www.glyphweb.com/esky/stars/alherem.html,March,March
70,Al Haram,https://www.glyphweb.com/esky/stars/alherem.html,March,March
71,Peregrini,https://www.glyphweb.com/esky/stars/alherem.html,March,March
72,Elthor,https://www.glyphweb.com/esky/stars/elthor.html,December,December
73,Althor,https://www.glyphweb.com/esky/stars/elthor.html,December,December
74,Al Thaur,https://www.glyphweb.com/esky/stars/elthor.html,December,December
75,Alifa al Farkadain,https://www.glyphweb.com/esky/stars/zetaursaeminoris.html,May,June
76,Aludra,https://www.glyphweb.com/esky/stars/aludra.html,January,February
77,Almaaz,https://www.glyphweb.com/esky/stars/alanz.html,December,December
78,Al Anz,https://www.glyphweb.com/esky/stars/alanz.html,December,December
79,Alioth,https://www.glyphweb.com/esky/stars/alioth.html,April,April
80,Alula Borealis,https://www.glyphweb.com/esky/stars/alulaborealis.html,March,April
81,Minelauva,https://www.glyphweb.com/esky/stars/minelauva.html,April,April
82,Auva,https://www.glyphweb.com/esky/stars/minelauva.html,April,April
83,Al Awwa,https://www.glyphweb.com/esky/stars/minelauva.html,April,April
84,Aljanah,https://www.glyphweb.com/esky/stars/gienah.html,August,August
85,Gienah,https://www.glyphweb.com/esky/stars/gienah.html,August,August
86,GienahCygni,https://www.glyphweb.com/esky/stars/gienah.html,August,August
87,Rastaban,https://www.glyphweb.com/esky/stars/rastaban.html,June,July
88,Restaban,https://www.glyphweb.com/esky/stars/rastaban.html,June,July
89,Asuia,https://www.glyphweb.com/esky/stars/rastaban.html,June,July
90,Alwaid,https://www.glyphweb.com/esky/stars/rastaban.html,June,July
91,Birdun,https://www.glyphweb.com/esky/stars/birdun.html,April,May
92,Al Birdhaun,https://www.glyphweb.com/esky/stars/birdun.html,April,May
93,Tania Australis,https://www.glyphweb.com/esky/stars/taniaaustralis.html,March,March
94,Alkafzah Australis,https://www.glyphweb.com/esky/stars/taniaaustralis.html,March,March
95,Alya,https://www.glyphweb.com/esky/stars/alya.html,July,July
96,CaudaSerpentis,https://www.glyphweb.com/esky/stars/alya.html,July,July
97,Aldhanab,https://www.glyphweb.com/esky/stars/aldhanab.html,August,September
98,Al Dhanab,https://www.glyphweb.com/esky/stars/aldhanab.html,August,September
99,Ras Alkurki,https://www.glyphweb.com/esky/stars/aldhanab.html,August,September
100,Tania Borealis,https://www.glyphweb.com/esky/stars/taniaborealis.html,March,March
101,Alkafzah Borealis,https://www.glyphweb.com/esky/stars/taniaborealis.html,March,March
102,Alzirr,https://www.glyphweb.com/esky/stars/alzirr.html,January,January
103,Al Fakhbir,https://www.glyphweb.com/esky/stars/alfakhbir.html,November,November
104,Alphecher,https://www.glyphweb.com/esky/stars/alfakhbir.html,November,November
105,Alkaid,https://www.glyphweb.com/esky/stars/benetnash.html,April,May
106,Benetnash,https://www.glyphweb.com/esky/stars/benetnash.html,April,May
107,Añañuca,https://www.glyphweb.com/esky/stars/ananuca.html,M1.0Vreddwarf,M1.0Vreddwarf
108,Fawaris,https://www.glyphweb.com/esky/stars/fawaris.html,July,August
109,Al Fawaris,https://www.glyphweb.com/esky/stars/fawaris.html,July,August
110,Rukh,https://www.glyphweb.com/esky/stars/fawaris.html,July,August
111,Urakhga,https://www.glyphweb.com/esky/stars/fawaris.html,July,August
112,Alkalurops,https://www.glyphweb.com/esky/stars/alkalurops.html,May,June
113,Aniara,https://www.glyphweb.com/esky/stars/hd102956.html,"Isagel(Aniara b),gas giant","Isagel(Aniara b),gas giant"
114,Alkaphrah,https://www.glyphweb.com/esky/stars/alkaphrah.html,February,February
115,Talitha Australis,https://www.glyphweb.com/esky/stars/alkaphrah.html,February,February
116,Ankaa,https://www.glyphweb.com/esky/stars/ankaa.html,October,October
117,Nair al Zaurak,https://www.glyphweb.com/esky/stars/ankaa.html,October,October
118,Head ofPhoenix,https://www.glyphweb.com/esky/stars/ankaa.html,October,October
119,Hassaleh,https://www.glyphweb.com/esky/stars/hassaleh.html,December,December
120,Al Kab,https://www.glyphweb.com/esky/stars/hassaleh.html,December,December
121,Alkarab,https://www.glyphweb.com/esky/stars/alkarab.html,September,October
122,Procyon,https://www.glyphweb.com/esky/stars/procyon.html,January,February
123,Al Kirkab,https://www.glyphweb.com/esky/stars/alkirkab.html,January,February
124,Alkes,https://www.glyphweb.com/esky/stars/alkes.html,March,March
125,Anser,https://www.glyphweb.com/esky/stars/anser.html,July,August
126,Alchiba,https://www.glyphweb.com/esky/stars/alchiba.html,April,April
127,Alchita,https://www.glyphweb.com/esky/stars/alchiba.html,April,April
128,Al Minkar al Ghurab,https://www.glyphweb.com/esky/stars/alchiba.html,April,April
129,Alkibash,https://www.glyphweb.com/esky/stars/alkibash.html,January,February
130,Antares,https://www.glyphweb.com/esky/stars/antares.html,June,June
131,Alnair,https://www.glyphweb.com/esky/stars/alnair.html,September,September
132,Al Nair,https://www.glyphweb.com/esky/stars/alnair.html,September,September
133,Al Na'ir,https://www.glyphweb.com/esky/stars/alnair.html,September,September
134,Almach,https://www.glyphweb.com/esky/stars/alamak.html,November,November
135,Alamak,https://www.glyphweb.com/esky/stars/alamak.html,November,November
136,Almaac,https://www.glyphweb.com/esky/stars/alamak.html,November,November
137,Almaak,https://www.glyphweb.com/esky/stars/alamak.html,November,November
138,Kornephoros,https://www.glyphweb.com/esky/stars/rutilicus.html,June,June
139,Rutilicus,https://www.glyphweb.com/esky/stars/rutilicus.html,June,June
140,Antilicus,https://www.glyphweb.com/esky/stars/rutilicus.html,June,June
141,Leepwal,https://www.glyphweb.com/esky/stars/alnairalbatn.html,May,May
142,Al Nair al Batn,https://www.glyphweb.com/esky/stars/alnairalbatn.html,May,May
143,Anwar al Farkadain,https://www.glyphweb.com/esky/stars/etaursaeminoris.html,June,June
144,Arcturus,https://www.glyphweb.com/esky/stars/arcturus.html,May,May
145,Alniyat,https://www.glyphweb.com/esky/stars/alniyat.html,June,June
146,Al Niyat,https://www.glyphweb.com/esky/stars/alniyat.html,June,June
147,Arneb,https://www.glyphweb.com/esky/stars/arneb.html,December,January
148,Paikauhale,https://www.glyphweb.com/esky/stars/paikauhale.html,June,June
149,Alrakis,https://www.glyphweb.com/esky/stars/arrakis.html,June,June
150,Arrakis,https://www.glyphweb.com/esky/stars/arrakis.html,June,June
151,Errakis,https://www.glyphweb.com/esky/stars/arrakis.html,June,June
152,Ascella,https://www.glyphweb.com/esky/stars/ascella.html,July,July
153,Al Sharas,https://www.glyphweb.com/esky/stars/alsharas.html,,
154,Aschere,https://www.glyphweb.com/esky/stars/sirius.html,January,January
155,Canicula,https://www.glyphweb.com/esky/stars/sirius.html,January,January
156,The DogStar,https://www.glyphweb.com/esky/stars/sirius.html,January,January
157,Sirius,https://www.glyphweb.com/esky/stars/sirius.html,January,January
158,Al Sumut,https://www.glyphweb.com/esky/stars/alphapyxidis.html,February,February
159,Alnasl,https://www.glyphweb.com/esky/stars/alnasl.html,July,July
160,El Nasl,https://www.glyphweb.com/esky/stars/alnasl.html,July,July
161,Nasl,https://www.glyphweb.com/esky/stars/alnasl.html,July,July
162,Nash,https://www.glyphweb.com/esky/stars/alnasl.html,July,July
163,Nushaba,https://www.glyphweb.com/esky/stars/alnasl.html,July,July
164,Asellus Borealis,https://www.glyphweb.com/esky/stars/asellusborealis.html,February,February
165,Elnath,https://www.glyphweb.com/esky/stars/nath.html,December,January
166,Alnath,https://www.glyphweb.com/esky/stars/nath.html,December,January
167,Nath,https://www.glyphweb.com/esky/stars/nath.html,December,January
168,Asellus Primus,https://www.glyphweb.com/esky/stars/asellusprimus.html,May,May
169,Ceginus,https://www.glyphweb.com/esky/stars/asellusprimus.html,May,May
170,Alnilam,https://www.glyphweb.com/esky/stars/alnilam.html,December,January
171,Ashlesha,https://www.glyphweb.com/esky/stars/ashlesha.html,February,February
172,Alnitak,https://www.glyphweb.com/esky/stars/alnitak.html,December,January
173,Azmidi,https://www.glyphweb.com/esky/stars/azmidi.html,January,February
174,Azmidiske,https://www.glyphweb.com/esky/stars/azmidi.html,January,February
175,Zavijava,https://www.glyphweb.com/esky/stars/zavijava.html,March,April
176,Alaraph,https://www.glyphweb.com/esky/stars/zavijava.html,March,April
177,Zavijah,https://www.glyphweb.com/esky/stars/zavijava.html,March,April
178,Aspidiske,https://www.glyphweb.com/esky/stars/iotacarinae.html,February,March
179,Tureis,https://www.glyphweb.com/esky/stars/iotacarinae.html,February,March
180,Turais,https://www.glyphweb.com/esky/stars/iotacarinae.html,February,March
181,Scutulum,https://www.glyphweb.com/esky/stars/iotacarinae.html,February,March
182,Albaldah,https://www.glyphweb.com/esky/stars/albaldah.html,July,July
183,Chara,https://www.glyphweb.com/esky/stars/chara.html,G0Vyellowdwarf,G0Vyellowdwarf
184,Asterion,https://www.glyphweb.com/esky/stars/chara.html,G0Vyellowdwarf,G0Vyellowdwarf
185,Albali,https://www.glyphweb.com/esky/stars/albali.html,August,August
186,Asterope,https://www.glyphweb.com/esky/stars/asterope.html,November,December
187,Sterope I,https://www.glyphweb.com/esky/stars/asterope.html,November,December
188,Albireo,https://www.glyphweb.com/esky/stars/albireo.html,July,August
189,Albereo,https://www.glyphweb.com/esky/stars/albireo.html,July,August
190,Tiaki,https://www.glyphweb.com/esky/stars/gruid.html,September,September
191,Gruid,https://www.glyphweb.com/esky/stars/gruid.html,September,September
192,Alphaulka,https://www.glyphweb.com/esky/stars/gruid.html,September,September
193,Alphecca,https://www.glyphweb.com/esky/stars/gemma.html,May,June
194,Alphekka,https://www.glyphweb.com/esky/stars/gemma.html,May,June
195,Gemma,https://www.glyphweb.com/esky/stars/gemma.html,May,June
196,Atakoraka,https://www.glyphweb.com/esky/stars/atakoraka.html,G7Vyellowdwarf,G7Vyellowdwarf
197,Athebyne,https://www.glyphweb.com/esky/stars/athebyne.html,June,June
198,Atik,https://www.glyphweb.com/esky/stars/atik.html,November,December
199,Alcor,https://www.glyphweb.com/esky/stars/alcor.html,April,May
200,Menhib,https://www.glyphweb.com/esky/stars/menkhib.html,November,December
201,Alcyone,https://www.glyphweb.com/esky/stars/alcyone.html,November,December
202,Alpheratz,https://www.glyphweb.com/esky/stars/sirrah.html,October,October
203,Sirrah,https://www.glyphweb.com/esky/stars/sirrah.html,October,October
204,Atlas,https://www.glyphweb.com/esky/stars/atlas.html,November,December
205,Aldebaran,https://www.glyphweb.com/esky/stars/aldebaran.html,AlphaTaurib,AlphaTaurib
206,Oculus Australis,https://www.glyphweb.com/esky/stars/aldebaran.html,AlphaTaurib,AlphaTaurib
207,Paralicium,https://www.glyphweb.com/esky/stars/aldebaran.html,AlphaTaurib,AlphaTaurib
208,Atria,https://www.glyphweb.com/esky/stars/atria.html,June,June
209,Alderamin,https://www.glyphweb.com/esky/stars/alderamin.html,August,September
210,Errai,https://www.glyphweb.com/esky/stars/alrai.html,"Tadmor(Errai A b),gas giant","Tadmor(Errai A b),gas giant"
211,Alrai,https://www.glyphweb.com/esky/stars/alrai.html,"Tadmor(Errai A b),gas giant","Tadmor(Errai A b),gas giant"
212,Avior,https://www.glyphweb.com/esky/stars/avior.html,February,February
213,Aldhibah,https://www.glyphweb.com/esky/stars/nodusi.html,June,July
214,Nodus I,https://www.glyphweb.com/esky/stars/nodusi.html,June,July
215,Nodus III,https://www.glyphweb.com/esky/stars/nodusi.html,June,July
216,Rukbat,https://www.glyphweb.com/esky/stars/rukbat.html,July,August
217,Alrami,https://www.glyphweb.com/esky/stars/rukbat.html,July,August
218,Baekdu,https://www.glyphweb.com/esky/stars/baekdu.html,"Halla,gas giant","Halla,gas giant"
219,Batentaban Australis,https://www.glyphweb.com/esky/stars/batentabanaustralis.html,July,July
220,Berehynia,https://www.glyphweb.com/esky/stars/berehynia.html,G5Vyellowdwarf,G5Vyellowdwarf
221,Biham,https://www.glyphweb.com/esky/stars/biham.html,September,September
222,Baham,https://www.glyphweb.com/esky/stars/biham.html,September,September
